date,open,high,low,close
44378.00 ,34822.2,35206.4,32799.1,33505.1
44379.00 ,33501.1,33950.7,32733.8,33465.9
44380.00 ,33464.6,34929.1,33355.4,34595.3
44381.00 ,34580,35944.4,34295.9,35866.5
44382.00 ,35889.4,35889.4,33180.9,34169.8
44383.00 ,34164.5,35088.7,33581.4,33766.7
44384.00 ,33765.9,35044.8,33739.4,34250.1
44385.00 ,34250.5,34290.5,32118.7,32686.9
44386.00 ,32686.8,34002.3,32289.9,33871.3
44387.00 ,33861.1,34230.2,33062.4,33431.6
44388.00 ,33429,34578.6,33335.4,34473.5
44389.00 ,34491.4,34635.9,32663.2,32868.7
44390.00 ,32866.9,33324.9,32215.2,32583.9
44391.00 ,32587.6,33064.6,31627.8,32861.3
44392.00 ,32859.6,33184.1,31155.2,31730.8
44393.00 ,31675.7,32254.9,31072.9,31745.5
44394.00 ,31742.7,31950.8,31201.9,31728.6
44395.00 ,31728.9,32438.9,31158.8,31847.7
44396.00 ,31848.2,31942.8,30493.7,30783.4
44397.00 ,30768.3,31061.8,29324.3,29702.2
44398.00 ,29702.4,32811.3,29511.5,31841.7
44399.00 ,31845,32596.5,31740.3,32163.4
44400.00 ,32145.2,32885.9,32039.8,32647.7
44401.00 ,32628.6,34516.8,32605.8,34124.6
44402.00 ,34125.4,34818.6,33889.3,34587.3
44403.00 ,34588.5,40533.9,34491.2,37115.7
44404.00 ,37129.9,38771.1,36422.4,38284.4
44405.00 ,38357.2,40883.8,38146.4,40102.8
44406.00 ,40102.4,40627.7,39324.9,39560.9
44407.00 ,39564.4,41497.5,38371.4,41175.5
44408.00 ,41202.8,42312.5,41029.4,41980.2
44409.00 ,41980.9,42577.9,40668.4,41092.3
44410.00 ,41086.4,41201.4,38699.6,39210.5
44411.00 ,39213.1,39774.4,37715.5,38322.7
44412.00 ,38332.6,39953.3,37528.7,39833.8
44413.00 ,39835.5,41402.7,37349.2,40926.5
44414.00 ,40930.8,43274.9,39925.2,42482.8
44415.00 ,42478.6,44553.1,42478.6,43644.2
44416.00 ,43599.7,45299.5,43322.1,44260.3
44417.00 ,44256.1,46464.2,42818.1,45719.2
44418.00 ,45732.6,46653.9,44680.4,45726.5
44419.00 ,45711.7,46760.8,45255.6,46371.3
44420.00 ,46353.1,46353.1,43837,44249.3
44421.00 ,44249.9,47830.3,43904.9,47588.1
44422.00 ,47582.4,48128.1,46056.9,47049.8
44423.00 ,47049.8,47365,45607.2,46886
44424.00 ,46883.8,48053,45686.2,46069.8
44425.00 ,46069.5,47095.9,44593.1,44776.7
44426.00 ,44777.7,46021.5,44242.5,44621.8
44427.00 ,44600.5,46854.7,43994.6,46623
44428.00 ,46621.6,49303.9,46363.9,49303.9
44429.00 ,49324.9,49793.7,48330,49209.2
44430.00 ,49197.8,49466.5,48138.8,48713.8
44431.00 ,48719.2,50498.9,48653.6,49563.3
44432.00 ,49564,49858.1,47847.2,48201
44433.00 ,48204.4,49156.5,47144,49076.2
44434.00 ,49091.3,49353.7,46470.3,47263.7
44435.00 ,47267.7,49165.8,46382.3,48999.3
44436.00 ,48997.4,49304.6,48417,48972.1
44437.00 ,48971.8,49649.3,47865.8,48912.4
44438.00 ,48914.6,49396.4,47440.7,48407.4
44439.00 ,48405.5,48465.9,46719.4,46958.8
44440.00 ,46949.1,49018.2,46556.8,48447.1
44441.00 ,48445.8,50358,48320.3,49831.8
44442.00 ,49828.6,51017.4,48364.9,50250.6
44443.00 ,50251.2,50544.8,49519.1,50227.5
44444.00 ,50228,51808.1,49513.6,51728.4
44445.00 ,51724.4,52205.3,51046.4,52114.1
44446.00 ,52119.1,52913,43954.2,46502.9
44447.00 ,46551.7,47348.1,44484.8,46076.9
44448.00 ,46072.3,47298.9,45613.2,46487.2
44449.00 ,46487.4,47025.4,44237.1,44618.1
44450.00 ,44596.7,45984.9,44305.2,45403.9
44451.00 ,45402.7,46213.2,44775.8,45287.9
44452.00 ,45288.4,46815.7,43559.8,45162.3
44453.00 ,45133.2,46955.2,44786.9,46689.7
